Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Ingresos (miles de $)
2014,1,Buenos Aires,26.72,85.26,291607175
2014,1,Capital Federal,52.66,128.57,291607175
2014,1,Catamarca,10.03,39.45,291607175
2014,1,Chaco,9.09,34.02,291607175
2014,1,Chubut,17.66,57.59,291607175
2014,1,Córdoba,21.09,68.88,291607175
2014,1,Corrientes,9.71,36.88,291607175
2014,1,Entre Ríos,17.14,57.33,291607175
2014,1,Formosa,7.38,28.98,291607175
2014,1,Jujuy,7.81,30.56,291607175
2014,1,La Pampa,21.26,64.52,291607175
2014,1,La Rioja,10.98,41.24,291607175
2014,1,Mendoza,17.26,61.84,291607175
2014,1,Misiones,9.49,34.85,291607175
2014,1,Neuquén,15.27,51.29,291607175
2014,1,Río Negro,17.69,57.51,291607175
2014,1,Salta,10.76,44.44,291607175
2014,1,San Juan,12.71,49.89,291607175
2014,1,San Luis,10.92,38.17,291607175
2014,1,Santa Cruz,13.17,44.25,291607175
2014,1,Santa Fe,22.93,72.91,291607175
2014,1,Santiago del Estero,7.73,31.15,291607175
2014,1,Tierra del Fuego,22.23,74.98,291607175
2014,1,Tucumán,13.47,54.39,291607175
2014,2,Buenos Aires,26.61,84.74,29748652
2014,2,Capital Federal,52.56,127.68,29748652
2014,2,Catamarca,10.02,39.38,29748652
2014,2,Chaco,9.06,33.89,29748652
2014,2,Chubut,17.57,57.31,29748652
2014,2,Córdoba,20.91,68.28,29748652
2014,2,Corrientes,9.69,36.8,29748652
2014,2,Entre Ríos,17.12,57.25,29748652
2014,2,Formosa,7.37,28.95,29748652
2014,2,Jujuy,7.82,30.59,29748652
2014,2,La Pampa,21.45,65.09,29748652
2014,2,La Rioja,10.9,40.94,29748652
2014,2,Mendoza,17.2,61.64,29748652
2014,2,Misiones,9.45,34.7,29748652
2014,2,Neuquén,15.22,51.12,29748652
2014,2,Río Negro,17.62,57.28,29748652
2014,2,Salta,10.75,44.37,29748652
2014,2,San Juan,12.67,49.73,29748652
2014,2,San Luis,10.89,38.03,29748652
2014,2,Santa Cruz,13.11,44.04,29748652
2014,2,Santa Fe,22.8,72.51,29748652
2014,2,Santiago del Estero,7.7,31.02,29748652
2014,2,Tierra del Fuego,22.08,74.44,29748652
2014,2,Tucumán,13.49,54.47,29748652
2014,3,Buenos Aires,26.69,84.85,310546202
2014,3,Capital Federal,52.69,127.35,310546202
2014,3,Catamarca,10.02,39.39,310546202
2014,3,Chaco,9.35,34.97,310546202
2014,3,Chubut,17.57,57.32,310546202
2014,3,Córdoba,20.74,67.73,310546202
2014,3,Corrientes,9.94,37.74,310546202
2014,3,Entre Ríos,17.59,58.84,310546202
2014,3,Formosa,7.36,28.92,310546202
2014,3,Jujuy,7.82,30.59,310546202
2014,3,La Pampa,21.2,64.33,310546202
2014,3,La Rioja,10.83,40.69,310546202
2014,3,Mendoza,17.15,61.44,310546202
2014,3,Misiones,9.52,34.93,310546202
2014,3,Neuquén,15.16,50.92,310546202
2014,3,Río Negro,17.57,57.13,310546202
2014,3,Salta,10.72,44.27,310546202
2014,3,San Juan,12.72,49.91,310546202
2014,3,San Luis,10.78,37.67,310546202
2014,3,Santa Cruz,13.11,44.03,310546202
2014,3,Santa Fe,22.9,72.83,310546202
2014,3,Santiago del Estero,7.69,30.98,310546202
2014,3,Tierra del Fuego,21.97,74.08,310546202
2014,3,Tucumán,13.52,54.56,310546202
2014,4,Buenos Aires,26.96,85.55,33396909
2014,4,Capital Federal,52.93,127.29,33396909
2014,4,Catamarca,9.99,39.27,33396909
