Año,Trimestre,Provincia,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Ingresos (miles de pesos),Periodo
2022,1,Buenos Aires,76.08,392.045,2.728.865,1.242.121,125.521,66.872,51432896,Ene-Mar 2022
2022,1,Capital Federal,111.8,102.290,1.217.225,62.308,5.784,29.934,51432896,Ene-Mar 2022
2022,1,Catamarca,58.21,14.181,15.517,29.118,1.328,2.234,51432896,Ene-Mar 2022
2022,1,Chaco,44.06,32.391,64.546,36.662,8.164,2.356,51432896,Ene-Mar 2022
2022,1,Chubut,88.05,44.133,66.667,9.184,30.592,21.052,51432896,Ene-Mar 2022
2022,1,Córdoba,85.76,195.610,501.799,235.838,60.843,9.713,51432896,Ene-Mar 2022
2022,1,Corrientes,47.64,40.462,79.093,10.875,6.774,5.374,51432896,Ene-Mar 2022
2022,1,Entre Ríos,63.7,67.159,138.986,23.091,26.098,12.592,51432896,Ene-Mar 2022
2022,1,Formosa,34.96,16.397,15.927,5.146,16.876,202.0,51432896,Ene-Mar 2022
2022,1,Jujuy,58.06,21.307,60.616,25.949,4.662,3.975,51432896,Ene-Mar 2022
2022,1,La Pampa,91.66,8.003,58.978,21.739,19.903,1.109,51432896,Ene-Mar 2022
2022,1,La Rioja,78.77,9.103,59.228,9.546,6.395,31.0,51432896,Ene-Mar 2022
2022,1,Mendoza,48.74,49.464,74.145,123.228,26.969,1.379,51432896,Ene-Mar 2022
2022,1,Misiones,49.04,39.147,91.752,25.178,7.807,7.624,51432896,Ene-Mar 2022
2022,1,Neuquén,74.17,28.443,73.200,24.193,23.098,745.0,51432896,Ene-Mar 2022
2022,1,Río Negro,67.04,38.662,45.366,38.037,16.815,18.494,51432896,Ene-Mar 2022
2022,1,Salta,56.11,44.714,98.667,40.994,5.950,7.19,51432896,Ene-Mar 2022
2022,1,San Juan,43.55,34.038,14.449,11.294,20.723,7.674,51432896,Ene-Mar 2022
2022,1,San Luis,80.72,7.987,11.296,31,71.809,28.721,51432896,Ene-Mar 2022
2022,1,Santa Cruz,43.34,10.537,23.420,10.766,3.974,405.0,51432896,Ene-Mar 2022
2022,1,Santa Fe,77.3,213.486,444.609,146.552,45.261,20.571,51432896,Ene-Mar 2022
2022,1,Santiago Del Estero,47.17,18.118,87.979,1.093,6.349,2.922,51432896,Ene-Mar 2022
2022,1,Tierra Del Fuego,98.29,13.031,38.700,416,124,340.0,51432896,Ene-Mar 2022
